Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Казанские (Кремлевские) кладбища,"Казань, город (см. 69). Первое кладбище находится в южной части Кремля. Длина кладбища 100 м от современных стен к северу. Вскрытый в 1947 г. костяк был ориентирован головой на запад, лицевой частью черепа на юг и лежал в деревянном гробовище, накрытом досками шире самого гробовища. Н. Ф. Калининым оно датируется XV в. Второе кладбище, в северной части Кремля, нарушено поздними земляными работами, что препятствует определению характера захоронений. Возможно, что это второе кладбище позднее, русское.",2,10,4,"49,119653","55,792181",1
Гремячкинское селище,"Гремячка, село. В 1967 г. к юго-западу от деревни Е. П. Казаковым на низкой надлуговой террасе на площади 300Х10 м собраны фрагменты круговой с примесью растительности и лепной с защипами по венчику керамики раннеболгарского периода.",2,14,2,"50,339481","55,441272",2
Арское городище,"Арск, рабочий поселок, правый берег реки Казанка. Расположено в центре р. п. на подтреугольном мысу, образованном высокой террасой реки и глубоким оврагом с западной    стороны.    Площадь 24 000 кв. м. Поверхность застроена (место бывшей «Мещанской» церкви). Остатки крепости булгаро-татарского города Арск, упоминаемого в летописях под 1497 г. Экспедицией КФАН 1945 г. найдены фрагменты керамики и различные бытовые предметы.",2,17,1,"49,888847","56,090047",3
Большенырсинское кладбище I,"Большие Нырси, село. К югу от села на кладбище, называемом «Дулкынлык», в отдельной ограде находятся два надгробных камня. Одно прямоугольной формы (130х55х16 см) с врезанной арабско-татарской надписью (трудночитаемой), без орнаментов. Дата 1399 г. Другое с врезанной же (некаллиграфической) арабско-татарской надписью (110Х59Х20 см) с шестиконечной звездой под двухскатным верхом, датированное 1443 г. Сохранность надгробий удовлетворительная. Снят эстампаж.",2,17,12,"50,296164","55,730644",4
Большенырсинское кладбище I,"Большие Нырси, село. К югу от села на кладбище, называемом «Дулкынлык», в отдельной ограде находятся два надгробных камня. Одно прямоугольной формы (130х55х16 см) с врезанной арабско-татарской надписью (трудночитаемой), без орнаментов. Дата 1399 г. Другое с врезанной же (некаллиграфической) арабско-татарской надписью (110Х59Х20 см) с шестиконечной звездой под двухскатным верхом, датированное 1443 г. Сохранность надгробий удовлетворительная. Снят эстампаж.",2,17,4,"50,296164","55,730644",5
Букеневское селище,"Букени, деревня Мамадышского р-на, правый берег реки Омарка. Расположено к юго-востоку от деревни при впадении реки Дигитлинки (Якинки). Поверхность распахивается. Подъемный материал распространен на площади 200х50 м и. состоит из гончарной керамики булгаро-татарского типа. По литературным данным с этого памятника происходят находки железных вещей (цепи, топоры, ножи, наконечники копий), серебряного перстня и каких-то каменных орудий.",2,17,2,"51,083606","55,590867",6
Елышевское местонахождение,"Елышево, деревня Собинского р-на, левого берега реки Меша. К юго-востоку от деревни экспедицией ИЯЛИ 1955 г. найдено несколько обломков болгаро-татарской керамики.",2,17,3,"50,490883","55,857289",7
Елышевское селище I,"Елышево, деревня. К югу от деревни, по краю распаханной надлуговой террасы, в 1955 г. на площади 100Х100 м собрана керамика гончарная желто-красная и желто-серая булгаро-татарского типа.",2,17,2,"50,492817","55,844531",8
Елышевское селище II,"Елышево, деревня. К востоку от деревни, на пологом мысу излучины реки, на распаханной поверхности АЭ ИЯЛИ в 1955 г. собрана желто-, кирпично-красная и серая керамика болгаро-татарского облика, биконической формы напрясло, обломок железного ножа и куски шлака.",2,17,2,"50,498117","55,848456",9
Измянское кладбище,"Измя, село Сабинского р-на, правый берег реки Малая Меша. К юго-западу от села на кладбище находятся четыре надгробных камня (94Х37 – 47Х20 – 27, 100X57 – 62Х12, 80Х40Х12 см), два из которых с врезанной надписью на древнеболгарском языке удовлетворительной сохранности. Надгробия датируются 1-й половиной XIV в. Третий камень с рельефной надписью датируется 1-й половиной XVI в. Четвертый камень является обломком (нижней частью) надгробия и не поддается датировке. Кладбище это, по-видимому, относится к находящемуся неподалеку городищу (Утернясьское). Снят эстампаж.",2,17,12,"50,391692","56,101875",10
Измянское кладбище,"Измя, село Сабинского р-на, правый берег реки Малая Меша. К юго-западу от села на кладбище находятся четыре надгробных камня (94Х37 – 47Х20 – 27, 100X57 – 62Х12, 80Х40Х12 см), два из которых с врезанной надписью на древнеболгарском языке удовлетворительной сохранности. Надгробия датируются 1-й половиной XIV в. Третий камень с рельефной надписью датируется 1-й половиной XVI в. Четвертый камень является обломком (нижней частью) надгробия и не поддается датировке. Кладбище это, по-видимому, относится к находящемуся неподалеку городищу (Утернясьское). Снят эстампаж.",2,17,4,"50,391692","56,101875",11
Казанский кремль городище,"Казань, город. Расположено в центральной части города на территории Кремля, на высоком мысу, образованном долинами Казанки и Волги. Исследования начаты в 20-х годах XX в. В. Ф. Смолиным и Н. Ф. Калининым. Раскопки производились в 1928–1929 гг. И. Н. Бороздиным в восточной части кремля, у здания Министерства просвещения и в северной части, в саду перед зданием Верховного Совета и у дворцовой церкви; в 1935 г. (Н. Ф. Калининым), на склоне, у северной кремлевской стены, за зданием Верховного Совета; в 1953– 1954 гг. (Н. Ф. Калининым) в северо-западной части на спуске к Тайницкой башне и возле нее. На протяжении 1940–1950 гг. Н. Ф. Калининым производились наблюдения за земляными работами в юго-восточной, центральной и северо-западной частях территории кремля. В результате наблюдений и раскопок 1920– 1950 гг. исследователь памятника Н. Ф. Калинин выделил четыре последовательно залегающих культурных напластования от конца XIV– начала XV в. и до наших дней. Близость содержащегося в нижнем культурном слое (IV по стратиграфической шкале его исследований) керамического материала к позднеболгарскому свидетельствовала, по его мнению, о возможности возникновения памятника еще в позднеболгарскую эпоху. Н. Ф. Калининым были сделаны наблюдения к исторической топографии памятника. Городище XV в. он определял в 18354 кв. м, ограничивая с юга «Тезицким» рвом; середина XVI в.–в 29054 кв. м с перенесением укреплений на 200 м далее к югу.",2,17,1,"49,105794","55,801172",12
Камаевское (Иски-Казанское) городище,"Камаево,  село. К северо-западу от села, на высокой террасе, возвышающейся над уровнем старицы реки, на мысу, образуемом глубоким с крутыми склонами оврагом с юго-запада и крутым обрывом к старице реки с юго-востока.  Расположено  городище на ровной, издавна распахиваемой площадке. С севера городище окружено хорошо сохранившимся дугообразным валом и рвом с проездом. Примерно посередине на мысу также заметны следы вала и рва. Площадка городища подтреугольной формы, имеет протяженность с севера на юг 320 м, с запада на восток у северного вала–350 м. Городище известно давно. В литературе сведения о нем появляются с 70-х годов XVIII в. Разведочные   исследования  проводились в 1928 г. И. Н. Бороздиным, 1945 и 1951 гг. Н. Ф. Калининым, в 1960 г. А. П. Смирновым. Раскопано   экспедицией   ИЯЛИ КФАН СССР и КГУ (Н. Ф. Калинин) в 1957 г. и ТАЭ (Р. Г. Фахрутдинов) в 1972 г. В общей сложности вскрыта площадь 1054 кв. м. Культурный слой памятника не превышает 25–30 см и в основном перепахан. Обнаружено значительное число поливной и неполивной гончарной керамики и в небольшом количестве лепная посуда с примесью толченой раковины, шамота. Много металлических (железных, чугунных,   бронзовых,   медных) предметов вооружения, бытовых вещей, украшения.   Обнаружено довольно большое количество серебряных джучидских монет XIV, особенно XV в. Остеологический материал представлен в основном костями крупного рогатого скота и лошади.   Интересным   объектом явилась часть фундамента и обвалившейся  стенки  белокаменного дома ремесленника. Сохранились основания двух печей, где найдено большое   число   разнообразных железных вещей и заготовок, а также круглый и продолговатый каменные котлы. В центре городища обнаружена могила кочевника с остатками коня. Дата памятника, по археологическим и письменным источникам,–конец XIII– 1-я половина XVI в.",2,17,1,"49,640403","56,0274",13
Мамалаевское селише,"Мамалаево, деревня. К востоку от села на распаханном краю надлуговой террасы АЭ ИЯЛИ 1955 г. обнаружено селище. Площадь распространения подъемного материала 100х210 м. Слой 15–20 см. Культурные остатки – позднеболгарская и татарская гончарная керамика красного, коричневого и серого цветов с лощением и орнаментом, ключ от цилиндрического замка с четырехугольным вырезом на круглой бородке.",2,17,2,"50,441475","55,862833",14
Светинский клад монет,"Русский Уртем, село Моркинского р-на Марийской АССР на стыке с Арским р-ном Татарской АССР, левый берег безымянной реки, правого притока реки Ашит. Найден в 1936 г. у ключа «Светина» недалеко от села. Состоит из 9895 серебряных монет общим весом около 8 кг. Из них 1264 монеты русско-татарские, остальные золотоордынские, чеканенные, главным образом в Болгаре. Дата клада XIV-–XV вв.",2,17,8,"49,293628","56,343503",15
Сосновский клад монет,"Сосновка, поселок Зеленодольского р-на, левый берег речки Сумка. В 1911 г. крестьянами деревни Красная при расчистке леса под пашню у деревни Сосновка на глубине 1/2 аршина (36 см) был найден клад, состоящий из 907 серебряных монет в основном золотоордынских временем от Узбека до Кибяка и несколько русских монет. Среди золотоордынских есть чеканенные в Болгаре и подражания им. Монеты переданы в Гос. Эрмитаж.",2,17,8,"48,897172","55,921842",16
Старомичанский надгробный камень,"Старый Мичан, село. Недалеко от села, в поле, находится надгробие (50Х52,5 см), глубоко ушедшее в землю с отбитой надписью. Частично она сохранилась на боковых сторонах. Предположительно датируется XV в.",2,17,12,"50,256661","56,061169",17
