Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Маклашеевский могильник I,"Маклашеевка, бывшая деревня. В 1882 г. П. А. Пономарев у бывшей деревни раскопал два длинных и невысоких кургана, где вскрыл под первым — 4, под вторым — 2 костяка, лежавших вытянуто на спине, головой на запад—к Волге. Памятник был назван Маклашеевским могильником I.",5,36,4,"49,036192","54,813817",1
Маклашеевский могильник II,"Маклашеевка, бывшая деревня. В 1897 г. П. А. Пономарев раскопал на том же месте еще один продолговатый курган длиной 35 м, шириной 8 м и высотой 0,2 м, где выявил 13 могил с остатками 19 костяков головой на запад. Курган получил название Маклашеевского могильника II.",5,36,4,"49,036192","54,813817",2
Малиновский могильник II,"Малиновка, бывшая деревня. На юго-восточной окраине бывшей деревни в размыве террасы в 1964 г. прослежены западины могильных ям (200Х50 м), вытянутых с запада на восток, собраны человеческие кости, бронзовые топор синташтинского типа, два ножа, каменный молот, керамика раннеприказанского типа.",5,46,4,"49,409847","55,109567",3
Новомордовская стоянка,"Новое Мордово, бывшее село. В 80-х гг. прошлого столетия Н. Ф. Высоцкий в 2 км к юго-западу от бывшего села, на правом берегу речки Вихлянка собрал керамику и кремневые изделия.",5,36,2,"49,189761","55,009567",4
Новомордовский могильник II,"Новое Мордово, бывшее село. На восточной окраине Новомордовского могильника I в 1962—1963 гг. ТАЭ в размыве выявлены остатки 2 погребений с западной ориентировкой и с сосудами раннеприказанского типа.",5,36,4,"49,176147","55,031225",5
Новомордовский могильник IV,"Новое Мордово, бывшее село. В 0,3 км к востоку от Новомордовского могильника I, в размыве края террасы в 1964 г. вскрыто в яме (155Х X 80 см) парное погребение с вытянутыми на запад костяками. Найдена также керамика. ",5,36,4,"49,181436","55,025522",6
Полянский могильник I,"Полянки, село. В 1880 г. Н. П. Лихачев к северу от села в урочище «Заказ» раскопал 4 невысоких удлиненных кургана, где выявил не менее 19 погребений — в основном срубных, но 4 из них содержали богатый металлический, костяной, керамический материал позднеприказанского типа.",5,36,4,"48,982633","54,844222",7
Ржавецкая стоянка I,"Ржавец, деревня. В 300 м к востоку от северо-восточного конца деревни, на мысу надлуговой террасы правого берега речки Вихлянка на площади 30Х30 м Р. С. Габяшевым в 1982 г. собрана срубно-приказанская керамика.",5,36,2,"49,171442","54,997003",8
Ржавецкая стоянка II,"Ржавец, деревня. В 0,8 км к востоку от деревни на краю надлуговой террасы левого берега водохранилища на площади 30Х30 м Р. С. Габяшевым в 1983 г. собрана срубно-приказанская керамика.",5,36,2,"49,174017","55,000253",9
Ржавецкое поселение III,"Ржавец, деревня. В 300 м к востоку-северо-востоку от Ржавецкого поселения 1 на краю размытой надлуговой террасы.",5,36,2,"49,155961","55,009858",10
Семеновское селище I,"Семеновка, бывшая деревня. На юго-восточной оконечности острова, в 0,8 км к северо-востоку от бывшей деревни на площади 200Х80 м ежегодно с 1961 г. собирается различный материал (керамика, отдельные вещи), происходящий с булгарского селища. Местами сохранившийся слой достигает 60 см.",2,11,2,"49,49874","55,16045",11
"Степное озеро, стоянка I","Куйбышев, город. Разведкой ТАЭ 1964, 1972 гг. в 5 км к северо-северо-западу от церкви бывшего села Булгары около бывшего Степного озера на площади 150Х50 м собрана керамика срубного типа.",5,36,2,"49,011706","54,962503",12
"Степное озеро, стоянка II","Куйбышев, город. Разведкой ТАЭ 1964, 1972 гг. в 3,5 км к северо-северо-западу от церкви бывшего села Булгары на площади 150Х40 м собрана керамика срубного и приказанского типов, в том числе большая коллекция «сетчатой» керамики, а также медные втульчатое и плоское тесла.",5,36,2,"49,022992","54,962897",13
"Степное озеро, стоянка III","Куйбышев, город. Разведкой ТАЭ 1964, 1972 гг. к северу в 300 м от церкви села Булгары на размытом останце надлуговой террасы собрана керамика срубного и приказанского типов. Возможно, здесь были раскопки КАЭ, вскрывшие соединенные жилища, в одном из которых найден кельт с несомкнутой втулкой.",5,36,2,"49,048483","54,981567",14
Танкеевское селище IIa,"Танкеевка, село. Расположено в 3,6 км к северо-северо-западу от села на мысу, образованном озерной террасой и суходолом. Распахано. Культурный слой более 50 см. Обнаруженные материалы относятся к позднему периоду (булгарская керамика и железный нож).",2,17,2,"49,098658","54,850156",15
Тетюшская стоянка V,"Тетюши, город. Расположена в 3,5 км к юго-востоку от города на северо-западной стороне останца надлуговой террасы левого берега реки Волга. Культурный слой стоянки полностью размыт и подъемный материал распространен на площади 100Х50 м вдоль берега. Находки представлены фрагментами срубной керамики и медным ножом.",5,43,2,"48,899161","54,931561",16
Щербетьско-Островное поселение,"Щербеть, село. В 2 км к северо-западу от села разведкой ТАЭ 1967 г. собрана керамика срубного и раннеприказанского типов.",5,36,2,"49,319111","54,983736",17
