Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Большебакрчынские находки II,"Большие Бакырчи, с. Из с. в коллекции В. И. Заусайлова имеются бронзовые втульчатый узковислообушный топор, двулезвийный нож с налитой рукоятью, серп, слабо изогнутый без крючка; нож с листовидно-треугольным клинком и треугольным заостренным черешком, нож или наконечник стрелы с клинком (пером) подтреугольной формы с узким заостренным черенком, .характерные Для абашевских и срубных древностей. У д. еще в середине XIX в. сохранялись следы древних разработок медной руды.",5,40,3,"48,200972","55,251631",1
Курбашинские находки III,"Курбаши Старые, д. Из д. в коллекции В. И. Заусайлова имеется серия медных и бронзовых предметов, относящихся к различным периодам эпохи раннего металла. К балановским древностям условно могут быть причислены два медных ножа. Еще два ножа с намечающимся трапециевидным черенком и перехватом могут быть связаны со срубно-аба-шевскими древностями. Три наконечника копья и нож с прямоугольным черенком относятся к предананьинскому хронологическому горизонту.",5,40,2,"47,802417","55,309553",2
Русаковские находки I,"Большое и Малое Русаково, дд. Апастовского района. В коллекции В. И. Заусайлова отсюда происходят каменные терочник, молот, острие — проколка из рога с округло-уплощенной рукояткой, в центре которого пробито отверстие, медный кованый наконечник дротика, характерные для балановских и абашевских древностей.",5,40,3,"48,375892","55,360586",3
Большетарханское селище V,"Большие Тарханы с. Расположено в СВ части с. и к СВ от современного кладбища между рекой и оврагами, ограничивающими селище с С и Ю. Площадь — 100х75 м. Найдены фрагменты раннеболгарской и домонгольской гончарной и лепной керамики.",2,11,2,"48,547147","54,717644",4
Татарско-Саплыкское местонахождение,"Татарский Саплык, д. Дрожжановского р-на, пр. б. р. Малая Цильна. В 1—1,1 км к 3 от д. на площади 20Х25 м собраны обломки гончарной посуды. Шурфом выявлена распаханность культурного слоя.",2,11,3,"47,620081","54,761964",5
Чабровское селище,"Чабры, д. Расположено на ЮЗ конце д. Площадь селища около 500 м2. Культурный слой имеет толщину 60 см. Шурфом в центральной части селища обнаружены хозяйственные ямы. Культурные остатки представлены фрагментами гончарной и лепной посуды. Имеются 2 фрагмента круговой раннеболгарской посуды VIII—IX вв.",2,11,2,"48,359831","54,770958",6
Мантовское селище,"Мантово, б. д. Расположено в 200 м к СВ от места д. В 1950 г. имело размеры 300Х150 м. Тогда же выявлен культурный слой мощностью 20 см. Материал представлен гончарной и реже лепной керамикой. Имеется керамика раннеболгарского времени.",2,11,2,"48,659903","54,628375",7
Апастовские находки I,"Апастово, с. Из с. в коллекции В. И. Заусайлова имеются каменные молот-терочник прямоугольной формы с выемом для упора и шаровидная булава с намеченной втулкой; медный серп, дугообразный, с узким кривым лезвием и выделенным черенком; бронзовые нож, двулезвийный, черенковый, с намеченным перекрестьем; два втульчатых наконечника копья с листовидным пером и двумя узкими сегментовидными прорезями на крыльях пера, характерные для срубных и приказанских древностей.",5,36,3,"48,512458","55,200492",8
Ивановские находки III,"Ивановское, д. Из д. в коллекции В. И. Заусайлова имеются бронзовые три двулезвийных ножа различных типов и двуушковый кельт, характерные для абашевско-срубных и приказанских древностей.",5,36,3,"48,59255","55,424069",9
Патрикеевские находки III,"Патрикеево, с. Из с. в коллекции В. И. Заусайлова имеются бронзовые 2 двулезвийных ножа, нож-кинжал с упором на черенке, сильно изогнутый серп, длинный пробойник со сбитой шляпкой и медная палочка, характерные для абашевско-срубных и предананьинских древностей.",5,36,3,"48,578775","55,465225",10
