name,descr,epoch,culture,second,type,y,x,id
Алексеевское городище,"Алексеевское, рабочий поселок. Расположено на северной окраине райцентра, на краю коренной террасы, на останце мыса, образованного оврагами и р. Камой. С напольной стороны укреплено 3-мя валами и 2-мя рвами с проездом в средней части. Площадь городища 300Х250 м. Мысо-вая часть городища смыта рекой и продолжает разрушаться. Площадка занята сельхозтехникой райцентра. Культурный слой по раскопкам 1960 и 1966 гг. состоит из двух горизонтов, верхний из которых потревожен старой пашней. Мощность верхнего горизонта, насыщенного материалом,—40—50 см; нижнего с малым числом находок—до 70— 80 см. Вещевой материал представлен небольшим числом изделий из черного и цветного металлов, костяными поделками. Керамика обильна и представлена различными группами, отражающими как общие черты культуры булгар, так и своеобразие памятников Прикамья. Раскопками вскрыты полуземлянки и хозяйственные ямы. Весь комплекс материала, как вещевой, так и керамический датируют городище Х— XII вв. Есть основания связывать городище с летописным городом Тухчиным, упоминаемым под 1183 год.",2,11,,1,50.126172,55.31555,1
Балахчинское городище,"Балахчино, село, Расположено в 0,5 км к югу от села на узкой стрелке высокой террасы, образованной краем террасы и глубоким оврагом. Поверхность ровная, задернованная. Укрепления в виде двух валов (один на мысовой части, другой в 75 м от него) сохранились плохо (высота их всего 15—20 см, ширина 50—70 м). У напольного вала — слабые следы рва. Ширина площадки городища у мысового вала 10 м, у напольного — 20 м. Культурный слой в обнажениях 40—50 см. В шурфе в средней части городища слоя не обнаружено. Подъемный материал собран на склонах и в овраге. Он состоит из гончарной булгарской и лепной с шамотом керамики. В слое материал аналогичен.",2,15,,1,49.926942,55.295708,2
Белогорское городище,"Белая Гора, село. Расположено в 0, 2 км к северу от села, на мысу высокой (20 м) задернованной надлуговой террасы, между двумя оврагами. С напольной стороны — следы вала. Ширина площадки городища 80— 90 м, длина —130 м. Мощность культурного слоя 30—35 см. Материал — булгарская керамика.",2,11,,1,50.499069,55.297114,3
"Березовогривское городище (Дворец Ермака, Сковорода)","Березовая Грива, деревня. Городище расположено в 1,5—2 км к юго-западу от деревни на мысу камской террасы, образованной берегом и оврагом и поднимающимся над уровнем поймы на 35—37 м. Городище делится на две части — малое и большое. Малое городище залесенное (размер площадки 60Х80 кв. м.). Площадка ровная. Дугообразный вал, ограждающий площадку, имеет высоту 4,5 м, ширина основания его в средней части около 20 м. Глубина рва, идущего за валом, около 4 м. Большое городище имеет площадь 310—315Х170— 180 м. Поверхность его ровная. Площадка ограждена валом (высота 2 м и ширина в основании 4 м) и рвом. Большое городище есть основания связывать с булгарским временем. Булгары включили в систему оборонительных сооружений и укрепления именьковского городища. Основной материал с городища — именьковская и булгарская керамика. В 1946 г. памятник обследовался экспедицией КФАН СССР под руководством Н. Ф. Калинина (при этом городище было названо «Базяковским»). В 1960 г. оно осматривалось Т. А. Хлебниковой, в 1961 г.—Е. П. Казаковым.",2,11,,1,49.715189,55.184317,4
Булдырское городище (Городок на горе),"Булдырь, село . Расположено в 0,9—1 км к западу от села на узком каменистом мысу, образованном с северо-запада р. Прость и р. Камой, а с юго-востока — пересохшей речкой. Высота мыса около 20 м, склоны крутые. Местное название — «Городок на горе». Укрепления городища — 2 вала со рвом проходят в 90 м от вершины мыса. Ширина площадки 4-х валов составляет 33 м. Высота валов — 1 м, ширина — 6—9 м, глубина рва —2 м. Площадка и укрепления потревожены строительными дорожными работами. Разведкой ТАЭ 1960 г. (отряд Т. А. Хлебниковой) находок не обнаружено. С городищем связана находка топора с молоткообразным обухом, округлыми щековицами и нешироким бойком, хранящегося в ГОМТР. Городище есть основания считать убежищем или наблюдательным пунктом волжских булгар.",2,15,,1,50.843228,55.415656,5
Городищенское городище,"Городище, село Нижнекамского района, левый берег р. Шешма. Расположено на восточной окраине села в излучине реки. Площадь — 30000 кв. м. С северо-западной стороны — ров и валы, местами плохо сохранившиеся. Поверхность городища застроена усадьбами села. На площадке городища и за укреплениями были многочисленные находки булгарской керамики, металлической посуды, жерновов, точильных камней, медных и серебряных монет. В районе городища найден кельт типа эпохи поздней бронзы.",2,15,,1,51.170592,55.295456,6
Джукетаусское городище,"Данауровка, деревня. Расположено в 0,7 км к северу от деревни на высоком с крутыми склонами мысу коренной камской террасы. С юго-востока и востока ограничено тройной линией валов и двумя рвами с одним проездом в их южной части. Валы 1,5—2 м высотой, а рвы до 2-х м глубиной. Площадка городища под-треугольной формы, ровная, более возвышенная в центре. Длина площадки 280 м, ширина у вала— 280 м. Мощность слоя от 50 до 70—80 см. Городище в настоящее время занято элеватором и сильно разрушено. Городище привлекает к себе внимание с начала XIX в. Помимо многочисленных осмотров и разведок 1928, 1952. 1960 гг. на нем в 1970—1972 гг. производились раскопки. В результате последних исследований установлено возникновение городища в Х в. и существование его в течение всего золотоордынского периода. По сведениям В. Н. Татищева и данным археологии, город был разгромлен Батыем, но восстановившись, жил интенсивной жизнью, будучи центром княжества, подчиненного Золотой Орде. Городище — цитадель города. Пригород его — открытые поселения западнее городища, по левую сторону Килевки, описан как Данауровское селище II . По правую сторону Килевки и за валами городища на протяжении высокой террасы как на городище, так и на пригороде вскрыты земляночные наземные с печами жилища и хозяйственные постройки. Получен большой и разнообразный материал. Особенности строительной техники и керамического материала (тип джукетау) подчеркивают своеобразие культуры болгар Нижнего Прикамья.",2,15,,1,50.555681,55.376586,7
Екатерининскослободинское городище I,"Слобода Екатерининская, село. Городище, известное со второй половины XIX столетия, расположено к востоку от села. Форма городища овальная, площадь—180000 кв. м. Со всех сторон городище окружено двумя рядами укреплений, разделенных расстоянием в 30—40 м. Внешняя линия состоит из одного вала и рва, внутренняя из двух, а местами из трех валов и рвов. Во внешней линии 5—6 проездов, но не все они сквозные. Двумя рядами валов и рвов площадь городища делится на 2 части: большую—южную (12880 кв. м) и меньшую—северную (51200 кв. м). Окружность городища по длине внешних валов 2,12 км. Внешняя линия обороны была использована при создании Старозакамской линии. Основная часть материала — булгарская керамика.",2,11,,1,51.090619,55.013644,8
Екатерининскослободинское городище II (Круглый вал),"Слобода Екатерининская, село. Городище, известное у старожилов под названием «Круглого вала», расположено в 4,5 км к северо-северо-востоку от села на краю надлуговой террасы. Форма круглая. Площадь 15600 кв. м. Площадка задернована. Оборона городища круговая из двойного ряда валов и рвов. Высота валов от уровня площадки до 1,5 м. Общая ширина линии обороны доходит до 40 м. Материал включает, в основном, булгарскую керамику.",2,11,,1,51.0737,55.046717,9
Елховское городище,"Елховка, деревня. Расположено в 1,8 км к юго-западу от деревни, примыкая с северо-запада к Елховскому валу, являющемуся в этой части одновременно юго-восточной линией обороны городища. С юго-запада ограничено оврагом. Площадь 28000 кв. м. Форма трапециевидная. Оборона почти круговая и состоит в основном из двух валов и рва и лишь по берегу — вал и ров с внутренней стороны. Материал городища состоит, в основном, из булгарской керамики.",2,11,,1,51.210597,55.090172,10
