name,descr,epoch,culture,second,type,y,x,id
"""Дубки"" стоянка I","Лагерная, поселок. Расположена к юго-западу от поселка на размытом мысу надлуговой террасы. Открыта в 1948 г. А. X. Халиковым, осматривалась в 1964–1976 гг. Р. С. Габяшевым и Г. В. Фроловым. На площади 60X20 м отмечен подъемный материал, состоящий из кремневых отщепов, орудий (скребки, ножи, наконечники стрел) и фрагментов керамики, характерной для балымско-карташихинского и атабаевского этапов приказанской культуры.",5,36,,2,48.988122,55.798025,1
"""Дубки"" стоянка II","Лагерная, поселок. Расположена к юго-западу от поселка на размытом краю надлуговой террасы. Открыта в 1969 г. Г. В. Фроловым. Осмотрена в 1976 г. Р. С. Габяшевым. На площади 60X20 м собран подъемный материал, характерный для балымско-карташихинского этапа приказанской культуры.",5,36,,2,48.994044,55.7967,2
"""Дубки"" стоянка III","Лагерная, поселок Кировского р-на Казани, левый берег Волги. Расположена к юго-западу от поселка на размытом южном мысу надлуговой террасы. Открыта в 1971 г. Г. Фроловым и осмотрена в 1976 г. Р. С. Габяшевым. Собранный на площади 50Х20–25 м материал состоит из кремневых отщепов, отдельных орудий и фрагментов неолитической керамики с гребенчатой орнаментацией, характерной для развитого этапа волго-камской культуры.",7,34,,2,49.003317,55.795861,3
"""Дубки"" стоянка IV","Аракчино, поселок. Расположена к юго-востоку от поселка на южном мысу надлуговой террасы. Открыта и обследована в 1976 г. Р. С. Габяшевым. Северная часть стоянки задернована. Культурный слой достигает 30–40 см. Собранный на площади 60х20 м материал состоит из кремневых орудий и фрагментов керамики с гребенчатым и реже–гребенчато-ямочным орнаментом, характерным для развитого и позднего этапов приказанской культуры.",6,35,,2,48.981217,55.799069,4
"""Дубки"" стоянка V","Аракчино, поселок. Расположена к югу от поселка на восточном мысу надлуговой террасы. Открыта и исследована в 1976 г. Р. С. Габяшевым. Культурный слой размыт. Собранный на площади 55Х20–25 м подъемный материал состоит из фрагментов керамики, характерной для маклашеевского этапа приказанской культуры.",5,36,,2,48.986581,55.799697,5
"""Ежевичная Стрелка"" городище","Сорочьи Горы, село. К северу от села на вершине Машкова оврага на стрелке между двумя его глубокими отрогами (Ежевичным и Ждановым) П. А. Пономарев указывает городище. Поверхность его издавна распахивается. Стрелка имеет форму вытянутого треугольника, когда-то огражденного с напольной стороны валом и рвом, которые уже к концу XIX столетия были распаханы. П. А. Пономаревым в 1879 г. были заложены траншеи и обнаружен культурный слой до 30–40 см мощности, содержащий значительное количество болгарской гончарной посуды. По рассказам местных жителей, на месте городища были частыми находки различных вещей: серебряных колец и браслетов, железных ножей, серпов и кос. По каталогу музея ОАИЭ с городища происходят железный кинжал с восточной надписью, половина металлического восточного зеркала и другие вещи. Городище возникло, по-видимому, в домонгольское время, во второй его половине.",2,11,,1,49.952922,55.383764,6
"""Зилантовая гора"", поселение","Казань, город, левый берег реки Казанка. На западной окраине города в крутой излучине реки на останце террасы, называемом «Зилантовой горой». Застроено. Укреплений не прослежено. Разведывательные работы проводились в 1928, 1932, 1945 и 1950 гг. Шурфовка на юго-западном склоне горы дала остатки культурного слоя смешанного характера. В нем обнаружена лепная серая керамика с шамотом, болгарская красная и коричневая с лощением, золотоордынский изразец из белого глиняного теста с бирюзовой поливой и фрагменты позднейшей русской посуды. На основании найденного золотоордынского изразца возникновение памятника Н. Ф. Калининым было определено поздним болгарским временем. Последующими работами Л. Шавохина в 1971–1972 гг. на площадке мыса остатков болгарского поселения не обнаружено.",2,15,,2,49.072628,55.818511,7
"""Кирюшкин городок"" городище","Шуран, село. Городище расположено вблизи городища Гремячий Ключ в средней части Гремячего оврага. Небольшая площадка с крутыми склонами с трех сторон, с четвертой укреплена кокошни-кообразным валом и заплывшим теперь рвом. Городище открыто и обследовано в 1885 г. П. А. Пономаревым. Собрана небольшая коллекция вещей, в составе которой костяные наконечники стрел, шилья, проколки, пронизки, железный наконечник копья, обломки глиняной посуды и кости животных. Костяные поделки и посуда из городища имеют многочисленные аналогии в памятниках ананьинской культуры. При обследовании городища в 1967 и 1973 гг. П. Н. Старостиным на нем выявлен материал именьковской культуры.",4,26,,1,49.8534,55.3703,8
"""Козья"" стоянка","Казань, город. Расположена на южной окраине бывшей слободы «Козья», к северу от Казанского Кремля на размытой дюне высокой поймы. В размыве песка на площади 70х15 м собран подъемный материал, состоящий из кремневых отщепов, крупных пластин и нескольких орудий (скребки, ножи, скобели) с односторонней обработкой.",6,100000000000011,,2,49.117192,55.814836,9
"""Красная Горка"" стоянка","Красная горка, поселок Кировского р-на Казани, левый берег Волги. Расположена к юго-западу от поселка на восточном мысу надлуговой террасы. Северо-восточный и южный края мыса и площадки стоянки размыты. В сохранившейся части культурный слой имеет мощность в 20–30 см. Открыта и обследована в 1976 г. Р. С. Габяшевым. Собранный на площади 60х60 м материал состоит из кремневых сколов, отщепов, орудий и фрагментов керамики с гребенчатым и гребенчато-ямочным орнаментом, характерным для финала волго-камской неолитической культуры.",6,34,,2,48.960556,55.800558,10
