name,descr,epoch,culture,second,type,y,x,id
Большебакрчынские находки II,"Большие Бакырчи, с. Из с. в коллекции В. И. Заусайлова имеются бронзовые втульчатый узковислообушный топор, двулезвийный нож с налитой рукоятью, серп, слабо изогнутый без крючка; нож с листовидно-треугольным клинком и треугольным заостренным черешком, нож или наконечник стрелы с клинком (пером) подтреугольной формы с узким заостренным черенком, .характерные Для абашевских и срубных древностей. У д. еще в середине XIX в. сохранялись следы древних разработок медной руды.",5,43,40,3,48.200972,55.251631,1
Курбашинские находки III,"Курбаши Старые, д. Из д. в коллекции В. И. Заусайлова имеется серия медных и бронзовых предметов, относящихся к различным периодам эпохи раннего металла. К балановским древностям условно могут быть причислены два медных ножа. Еще два ножа с намечающимся трапециевидным черенком и перехватом могут быть связаны со срубно-аба-шевскими древностями. Три наконечника копья и нож с прямоугольным черенком относятся к предананьинскому хронологическому горизонту.",5,43,40,2,47.802417,55.309553,2
Русаковские находки I,"Большое и Малое Русаково, дд. Апастовского района. В коллекции В. И. Заусайлова отсюда происходят каменные терочник, молот, острие — проколка из рога с округло-уплощенной рукояткой, в центре которого пробито отверстие, медный кованый наконечник дротика, характерные для балановских и абашевских древностей.",5,27,40,3,48.375892,55.360586,3
Большетарханское селище V,"Большие Тарханы с. Расположено в СВ части с. и к СВ от современного кладбища между рекой и оврагами, ограничивающими селище с С и Ю. Площадь — 100х75 м. Найдены фрагменты раннеболгарской и домонгольской гончарной и лепной керамики.",2,14,11,2,48.547147,54.717644,4
Татарско-Саплыкское местонахождение,"Татарский Саплык, д. Дрожжановского р-на, пр. б. р. Малая Цильна. В 1—1,1 км к 3 от д. на площади 20Х25 м собраны обломки гончарной посуды. Шурфом выявлена распаханность культурного слоя.",2,14,11,3,47.620081,54.761964,5
Чабровское селище,"Чабры, д. Расположено на ЮЗ конце д. Площадь селища около 500 м2. Культурный слой имеет толщину 60 см. Шурфом в центральной части селища обнаружены хозяйственные ямы. Культурные остатки представлены фрагментами гончарной и лепной посуды. Имеются 2 фрагмента круговой раннеболгарской посуды VIII—IX вв.",2,14,11,2,48.359831,54.770958,6
Мантовское селище,"Мантово, б. д. Расположено в 200 м к СВ от места д. В 1950 г. имело размеры 300Х150 м. Тогда же выявлен культурный слой мощностью 20 см. Материал представлен гончарной и реже лепной керамикой. Имеется керамика раннеболгарского времени.",2,14,11,2,48.659903,54.628375,7
Апастовские находки I,"Апастово, с. Из с. в коллекции В. И. Заусайлова имеются каменные молот-терочник прямоугольной формы с выемом для упора и шаровидная булава с намеченной втулкой; медный серп, дугообразный, с узким кривым лезвием и выделенным черенком; бронзовые нож, двулезвийный, черенковый, с намеченным перекрестьем; два втульчатых наконечника копья с листовидным пером и двумя узкими сегментовидными прорезями на крыльях пера, характерные для срубных и приказанских древностей.",5,43,36,3,48.512458,55.200492,8
Ивановские находки III,"Ивановское, д. Из д. в коллекции В. И. Заусайлова имеются бронзовые три двулезвийных ножа различных типов и двуушковый кельт, характерные для абашевско-срубных и приказанских древностей.",5,40,36,3,48.59255,55.424069,9
Патрикеевские находки III,"Патрикеево, с. Из с. в коллекции В. И. Заусайлова имеются бронзовые 2 двулезвийных ножа, нож-кинжал с упором на черенке, сильно изогнутый серп, длинный пробойник со сбитой шляпкой и медная палочка, характерные для абашевско-срубных и предананьинских древностей.",5,40,36,3,48.578775,55.465225,10
Черкинские находки,"Черки, ряд с. и д. Буинского р-на (Черки-Кильдуразы, Ишмяково, Кощаково, Гришине) по л. берегу Свияги. Из указанных населенных пунктов имеются медные и бронзовые предметы: в коллекции В. И. Заусайлова — тесло, удлиненное, прямоугольное в сечении, с расширенным лезвием ; оригинальное долото с горбатой спинкой и желобчатым лезвием, трапециевидное в сечении ; наконечник копья с удлиненной несомкнутой втулкой, с листовидным зауженным пером, крылья которого переходят на бока втулки ; в коллекции ГМТР — обломок лезвийной части вислообушного топора; двулезвийный нож с листовидным клинком, перехватом и ромбической пяткой черенка; двулезвийный нож с листовидным зауженным к острию клинком и длинным заостренным, но загнутым на конце черенком; наконечник копья с короткой сомкнутой втулкой, листовидным пером с круглым в сечении стержнем и боковым ушком. Нож с заостренной пяткой черенка из ГМТР характерен для энеолитических культур. Тесло, наконечник копья с разомкнутой втулкой, обломок вислообушного топора, нож с перехватом, очевидно, датируются сейминским хронологическим горизонтом и связаны с абашевскими или срубными древностями. Долото с горбатой спинкой и наконечник копья с ушком относятся к предананьинскому горизонту. Определенно с приказанскими древностями из них может быть связан лишь наконечник.",5,100000000000011,36,3,48.266469,55.105369,11
Нижнеуслонское поселение II,"Нижний Услон, с. Второй слой Нижнеуслонского поселка связан с находками фрагментов чирковско-сейминской керамики.",5,44,45,2,48.967647,55.712942,12
Беловолжские находки II,"Беловолжка, д. Из д. в коллекции В. И. Заусайлова есть медные или бронзовые нож, двулезвийный, с листовидным клинком с притупленной пяткой черенка; серп с крюком, узкий, слабо изогнутый, с кривым лезвием и обломок предмета . Серп и нож связаны скорее всего со срубными древностями. ",5,100000000000011,43,3,48.096575,55.047064,13
Большеатрясские находки,"Большие Атряси, с. Из с. в коллекцию В. И. Заусайлова попал бронзовый массивный перстень с печаткой, скорее всего относящийся ко времени Казанского ханства. Кольцо обрамлено рельефным изображением трилистников. Щиток перстня с боков укреплен растительным и жгутообразным орнаментом. Шестиугольная площадка заполнена арабской надписью в обратном изображении.",2,18,17,3,48.770506,55.103428,14
Исаковское селище I,"Исаково, с. На месте Исаковской II стоянки выявлен культурный слой толщиной 25 см, содержавший фрагменты гончарной керамики.",2,18,17,2,48.602147,55.731244,15
Кугальнинское местонахождение,"Кугальна, д. В 1 км к С от д. у края надлуговой террасы встречено несколько фагментов гончарной красноглиняной керамики.",2,18,17,3,48.386922,54.942278,16
Патрикеевские находки IV,"Патрикеево, с. Из с. в коллекции В. И. Заусайлова хранятся железные фигурное кресало, боевой топорик с оттянутым обухом и клиновидным лезвием, костяные молоточек и цилиндрической формы с рифлением навершие, характерные для позднебулгарского времени.",2,18,17,3,48.578753,55.465247,17
Пролей-Кашинские находки,"Пролей-Каша, с. В 1881 г. в с. найдена бронзовая чаша с серебряной инкрустацией.",2,18,17,3,48.782061,54.805267,18
