name,descr,epoch,culture,second,type,y,x,id
Новошешминское городище II,"Новошешминск. село Расположено в 3,7 км к северо-севсро-востоку от села и в 0,8 км к западу от Новошешминского городища III па невысоком мысу между оврагами. Площадь 24000 кв. м. Форма подтреугольная. Задерновано. Оборона круговая из вала и рва с проездом в северном конце. Ров происходит несколько ниже края террасы. Культурный слой и материал отсутствуют. По системе укреплений и планировке городища оно отнесено к булгарским и связано, по-видимому, со всей системой обороны восточных рубежей Волжской Булгарии домонгольского периода. Местное население— ""Аралев городок"". Известно с конца XIX в.",2,11,,1,51.272817,55.074717,1
Елантовское городище,"Елантово, село Новошешминского района, правый берег р. Шешма Расположено в 2,8—2,9 км к югу от села на высоком мысу (90—100 м) коренной террасы устья рч. Медведка. Форма подтреугольная. Площадь 10400 кв. м. Залесено. С напольной стороны—вал и ров. Высота вала 0,65 м. ширина—7,3 м, глубина рва 0,9 м, ширина—4.7 м. Восточный конец вала не доходит до края террасы. Культурный слой в шурфах до 10 см. Находок немного—гончарная и лепная булгарская керамика. Местное название городища ""Биек тау"" (Высокая гора). Городище определяется как булгарский стратегический пункт в системе укрепления по р. Шешма. Известно с конца XIX в. ",2,11,,1,51.203061,55.095,2
Ошинское городище Жмяк,"Ошинский, поселок. Расположено в 800 м к северо-западу от поселка на высоком мысу (50 м) коренного берега реки. С северной стороны укреплено валом и рвом, протяженностью в 140 м при ширине вала 6,5 и высоте 0,8 м с двумя проездами в середине. Задерновано и залесено. Культурный слой до 20 см. Материал собран на юго-восточном склоне и состоит из булгарской гончарной и лепной керамики. Здесь же обнаружено несколько фрагментов аианьинской керамики. Известно с конца XIX в.",2,11,,1,51.457822,55.454386,3
Краснокадкинское городище,"Красная Кадка, село Нижнекамского района, правый берег р. Зай. К 1,7—1,8 км к северо-востоку от села на высоком коренном берегу Зая в 1964 г. открыто городище, занимающее мыс подтреугольной формы.",2,14,,1,51.820161,55.423928,4
Новошешминское городище III,"Новошешминск, село Новошешминского района, правый берег безымянного ручья, правого притока р. Шешма. Расположено в 4 км к северо-востоку от села на мысу. Форма подчетырехугольная. площадь 3900 кв. м. Задерновано. С напольной стороны ограничено двойным рядом валов и рвов, которые не доходят до края террасы па 7 км. Культурный слой не наблюдается. Материал—небольшое количество булгарской гончарной керамики. Городище, подобно Новошешминскому II , рассматривается как форпост.",2,15,,1,51.283461,55.073092,5
Утяшкинское городище,"Утяшкино, село. Расположено в 3 км к ссверо-северо-западу от западного конца села в верховьях оврага ""Пушкин дол"". Форма подтреугольная. Площадь 11200 кв. м. Залесено. С напольной стороны— вал и ров с проездом в середине. Высота вала 0,75 м, ширина—7 м, глубина рва 0.65 м, ширина—4 м. Культурный слой не обнаружен. Отнесен к числу стратегических укреплений Волжской Булгарии.",2,15,,1,51.294883,55.238356,6
Ирмяшевское городище,"Ирмяшево, деревня. Открыто А. П. Шокуровым в 1956 г. в юго-западной окраине деревни на мысу коренной террасы реки. Площадка овальная (около 6 тыс. кв. м.), ограждена с напольного края валами. Внешний вал (длина 75 м, ширина в основании 12 м, высота 0,8 м) разрушен пахотой. Примыкавший с напольной стороны к нему ров заплыл. Внутренний вал (длина 75 м, ширина в основании до 24 м, высота около 2 м) сравнительно хорошей сохранности. Дополнительно памятник обследован ТАЭ в 1958 г. Материал городища — керамика ананьинского и пьяноборского типа.",4,25,49,1,54.0475,55.732272,7
Ошинское городище Жмяк,"Ошинский, поселок. Расположено в 800 м к северо-западу от поселка на высоком мысу (50 м) коренного берега реки. С северной стороны укреплено валом и рвом, протяженностью в 140 м при ширине вала 6,5 и высоте 0,8 м с двумя проездами в середине. Задерновано и залесено. Культурный слой до 20 см. Материал собран на юго-восточном склоне и состоит из булгарской гончарной и лепной керамики. Здесь же обнаружено несколько фрагментов аианьинской керамики. Известно с конца XIX в.",4,25,,1,51.457822,55.454386,8
Беляхчинское городище,"Беляхча, деревня Нижнскамского района, левый берег р. Камы. Городище, расположенное в 2.5 км к востоку-юго-востоку от деревни на мысу надлуговой террасы между двумя неглубокими (4—5 м) оврагами. Площадка городища, вытянутая с юго-востока на северо-запад, имеет неправильную форму (80Х15—30 м) и с юго-восточной стороны защищена шишкообразным валом (высота 2,2 м. ширина 1,3 м) и рвом (глубина 0,7 м, ширина 8—10 м). Поверхность задернована. Памятник открыт и обследован АЭ КФАН СССР в 1959 г. Выявлен слой мощностью 70—80 см., содержащей материал ананьинской культуры.",4,25,,1,51.578828,55.587786,9
Светло-Ключинское городище,"Светлый Ключ, бывшая деревня Нижнекамского района, левый берег р. Камы. Городище, обнаруженное в 1959 г. в 800—900 м к юго-западу от бывшей деревни, занимает мыс, образованный коренным берегом реки и оврагом, известным у местного населения под названием «Длинный язык». Площадка городища возвышается над поймой реки на 45—50 м и имеет узкую треугольную форму (90Х20— 35 м), защищенную с напольной стороны валом (длина 35 м, ширина 24 м, и высота 2, 15 см) и рвом (ширина 12 м, глубина 3,4 м). На оконечности мыса насыпан небольшой вал шириной в 10 м и высотой в 1 м, окаймленный с наружной стороны ровиком шириной в 5 м и глубиной в 0,8—1 м. Культурный слой имеет мощность до 20 см и содержит керамику ананьинской и именьковской культур.",4,25,,1,51.558094,55.462967,10
Смыловское городище,"Смыловка, село Нижнекамского района, правый берег р. Прость, левого притока р. Камы. Открыто и первоначально обследовано в 1977 г. Р. С. Габяшевым в 150 м к северо-западу от северной окраины деревни на мысу коренного берега между оврагами и левым берегом реки. Площадка городища, имевшая подчетырехугольную в плане форму (110Х40 м), с напольной стороны ограждена валом и рвом (высота вала около 1,5 м ширина его в основании 13—14 м, ширина рва около 12 м, глубина от уровня напольной площади около 0,5 м. Укрепления сильно оплыли, в значительной степени разрушена восточная сторона площадки городища. Слой почти не сохранился. Материал представлен в основном керамикой ананьинского облика.",4,25,,1,51.586258,55.497728,11
Чиялекское городище,"Чиялек, деревня. Памятник занимает высокий (35— 40 м) подтреугольный мыс коренной террасы правого берега реки. У юго-западного конца деревни отрядом Е. П. Казакова в 1969, 1977 гг. на мысу были зафиксированы остатки вала и собраны фрагменты ананьинской керамики, украшенной ямками и оттисками веревочки. В настоящее время на мысу находится карьер для добычи камня, полностью разрушивший городище.",4,25,,1,53.882372,55.438233,12
Масадынское городище,"Масады, деревня. Памятник, обследованный отрядом Е. П. Казакова в 1971 г., располагается на мысу коренной террасы левого берега реки в 0,2 км к востоку-северо-востоку от деревни. Трапециевидная в плане площадка имеет размер 3200 км. м. Сильно оплывшие валы с напольной стороны имеют высоту 1— 1,8 м при ширине 10 м, а с пойменной и овражной части 0, 3—0, 5 м при ширине 5—7 м. В юго-восточном углу остались многочисленные ямы от грабительских перекопов. В заложенных раскопах на первом штыке встречены обломки с органической примесью в тесте.",3,29,,1,53.842492,55.838836,13
Азметьевское городище,"Азметьево. деревня. Памятник расположен на мысу коренной террасы (высота 30 м), разделяющем поймы pp. Белой и Шабыз на месте Азметьевского могильника. Площадь его, вытянутая с запада на восток, имеет размеры 60Х50 м. С напольной стороны городище ограждено сильно расплывшимся валом высотой около 1 и шириной до 10 м.. При раскопках могильника на месте городища встречены фрагменты лепных круглодонных залощенных сосудов, возможно, постпьяноборского времени.",3,29,,1,53.852756,55.7804,14
